... loading data
... building the model
... training
epoch 1, minibatch 500/500, validation error 7.420000 %
     epoch 1, minibatch 500/500, test error of best model 8.030000 %
epoch 2, minibatch 500/500, validation error 5.400000 %
     epoch 2, minibatch 500/500, test error of best model 5.850000 %
epoch 3, minibatch 500/500, validation error 4.970000 %
     epoch 3, minibatch 500/500, test error of best model 5.600000 %
epoch 4, minibatch 500/500, validation error 4.330000 %
     epoch 4, minibatch 500/500, test error of best model 5.120000 %
epoch 5, minibatch 500/500, validation error 4.060000 %
     epoch 5, minibatch 500/500, test error of best model 4.820000 %
epoch 6, minibatch 500/500, validation error 3.740000 %
     epoch 6, minibatch 500/500, test error of best model 4.210000 %
epoch 7, minibatch 500/500, validation error 3.630000 %
     epoch 7, minibatch 500/500, test error of best model 3.960000 %
epoch 8, minibatch 500/500, validation error 3.600000 %
     epoch 8, minibatch 500/500, test error of best model 3.960000 %
epoch 9, minibatch 500/500, validation error 3.160000 %
     epoch 9, minibatch 500/500, test error of best model 3.530000 %
epoch 10, minibatch 500/500, validation error 3.140000 %
     epoch 10, minibatch 500/500, test error of best model 3.330000 %
epoch 11, minibatch 500/500, validation error 3.090000 %
     epoch 11, minibatch 500/500, test error of best model 3.350000 %
epoch 12, minibatch 500/500, validation error 3.450000 %
epoch 13, minibatch 500/500, validation error 3.440000 %
epoch 14, minibatch 500/500, validation error 3.070000 %
     epoch 14, minibatch 500/500, test error of best model 3.240000 %
epoch 15, minibatch 500/500, validation error 2.950000 %
     epoch 15, minibatch 500/500, test error of best model 3.110000 %
epoch 16, minibatch 500/500, validation error 2.890000 %
     epoch 16, minibatch 500/500, test error of best model 2.940000 %
epoch 17, minibatch 500/500, validation error 2.950000 %
epoch 18, minibatch 500/500, validation error 2.590000 %
     epoch 18, minibatch 500/500, test error of best model 3.020000 %
epoch 19, minibatch 500/500, validation error 3.040000 %
epoch 20, minibatch 500/500, validation error 2.850000 %
epoch 21, minibatch 500/500, validation error 2.890000 %
epoch 22, minibatch 500/500, validation error 2.700000 %
epoch 23, minibatch 500/500, validation error 2.580000 %
     epoch 23, minibatch 500/500, test error of best model 2.940000 %
epoch 24, minibatch 500/500, validation error 2.780000 %
epoch 25, minibatch 500/500, validation error 2.760000 %
epoch 26, minibatch 500/500, validation error 2.930000 %
epoch 27, minibatch 500/500, validation error 2.600000 %
epoch 28, minibatch 500/500, validation error 2.790000 %
epoch 29, minibatch 500/500, validation error 2.390000 %
     epoch 29, minibatch 500/500, test error of best model 2.590000 %
epoch 30, minibatch 500/500, validation error 2.390000 %
epoch 31, minibatch 500/500, validation error 2.550000 %
epoch 32, minibatch 500/500, validation error 2.350000 %
     epoch 32, minibatch 500/500, test error of best model 2.400000 %
epoch 33, minibatch 500/500, validation error 2.530000 %
epoch 34, minibatch 500/500, validation error 2.500000 %
epoch 35, minibatch 500/500, validation error 2.290000 %
     epoch 35, minibatch 500/500, test error of best model 2.570000 %
epoch 36, minibatch 500/500, validation error 2.340000 %
epoch 37, minibatch 500/500, validation error 2.540000 %
epoch 38, minibatch 500/500, validation error 2.330000 %
epoch 39, minibatch 500/500, validation error 2.540000 %
epoch 40, minibatch 500/500, validation error 2.490000 %
epoch 41, minibatch 500/500, validation error 2.340000 %
epoch 42, minibatch 500/500, validation error 2.530000 %
epoch 43, minibatch 500/500, validation error 2.600000 %
epoch 44, minibatch 500/500, validation error 2.760000 %
epoch 45, minibatch 500/500, validation error 2.740000 %
epoch 46, minibatch 500/500, validation error 2.630000 %
epoch 47, minibatch 500/500, validation error 2.580000 %
epoch 48, minibatch 500/500, validation error 2.710000 %
epoch 49, minibatch 500/500, validation error 2.660000 %
epoch 50, minibatch 500/500, validation error 2.670000 %
epoch 51, minibatch 500/500, validation error 2.890000 %
epoch 52, minibatch 500/500, validation error 2.720000 %
epoch 53, minibatch 500/500, validation error 2.930000 %
epoch 54, minibatch 500/500, validation error 2.530000 %
epoch 55, minibatch 500/500, validation error 2.790000 %
epoch 56, minibatch 500/500, validation error 2.840000 %
