... building the model
... training
epoch 1, minibatch 3600/3600, validation error 16.980000 %
     epoch 1, minibatch 3600/3600, test error of best model 16.470000 %
epoch 2, minibatch 3600/3600, validation error 12.943333 %
     epoch 2, minibatch 3600/3600, test error of best model 12.020000 %
epoch 3, minibatch 3600/3600, validation error 11.178333 %
     epoch 3, minibatch 3600/3600, test error of best model 10.360000 %
epoch 4, minibatch 3600/3600, validation error 9.981667 %
     epoch 4, minibatch 3600/3600, test error of best model 9.450000 %
epoch 5, minibatch 3600/3600, validation error 9.228333 %
     epoch 5, minibatch 3600/3600, test error of best model 8.630000 %
epoch 6, minibatch 3600/3600, validation error 8.386667 %
     epoch 6, minibatch 3600/3600, test error of best model 8.060000 %
epoch 7, minibatch 3600/3600, validation error 7.688333 %
     epoch 7, minibatch 3600/3600, test error of best model 7.520000 %
epoch 8, minibatch 3600/3600, validation error 6.965000 %
     epoch 8, minibatch 3600/3600, test error of best model 6.790000 %
epoch 9, minibatch 3600/3600, validation error 6.600000 %
     epoch 9, minibatch 3600/3600, test error of best model 6.360000 %
epoch 10, minibatch 3600/3600, validation error 6.335000 %
     epoch 10, minibatch 3600/3600, test error of best model 6.310000 %
epoch 11, minibatch 3600/3600, validation error 6.081667 %
     epoch 11, minibatch 3600/3600, test error of best model 5.890000 %
epoch 12, minibatch 3600/3600, validation error 5.970000 %
     epoch 12, minibatch 3600/3600, test error of best model 5.730000 %
epoch 13, minibatch 3600/3600, validation error 5.905000 %
     epoch 13, minibatch 3600/3600, test error of best model 5.640000 %
epoch 14, minibatch 3600/3600, validation error 5.690000 %
     epoch 14, minibatch 3600/3600, test error of best model 5.450000 %
epoch 15, minibatch 3600/3600, validation error 5.391667 %
     epoch 15, minibatch 3600/3600, test error of best model 5.160000 %
epoch 16, minibatch 3600/3600, validation error 5.155000 %
     epoch 16, minibatch 3600/3600, test error of best model 5.030000 %
epoch 17, minibatch 3600/3600, validation error 4.993333 %
     epoch 17, minibatch 3600/3600, test error of best model 4.860000 %
epoch 18, minibatch 3600/3600, validation error 4.806667 %
     epoch 18, minibatch 3600/3600, test error of best model 4.730000 %
epoch 19, minibatch 3600/3600, validation error 4.711667 %
     epoch 19, minibatch 3600/3600, test error of best model 4.850000 %
epoch 20, minibatch 3600/3600, validation error 4.540000 %
