... building the model
... training
epoch 1, minibatch 1200/1200, validation error 7.316667 %
     epoch 1, minibatch 1200/1200, test error of best model 7.252525 %
epoch 2, minibatch 1200/1200, validation error 5.531667 %
     epoch 2, minibatch 1200/1200, test error of best model 5.585859 %
epoch 3, minibatch 1200/1200, validation error 4.406667 %
     epoch 3, minibatch 1200/1200, test error of best model 4.484848 %
epoch 4, minibatch 1200/1200, validation error 3.198333 %
     epoch 4, minibatch 1200/1200, test error of best model 3.151515 %
epoch 5, minibatch 1200/1200, validation error 2.923333 %
     epoch 5, minibatch 1200/1200, test error of best model 3.262626 %
epoch 6, minibatch 1200/1200, validation error 2.548333 %
     epoch 6, minibatch 1200/1200, test error of best model 2.696970 %
epoch 7, minibatch 1200/1200, validation error 2.418333 %
     epoch 7, minibatch 1200/1200, test error of best model 2.646465 %
epoch 8, minibatch 1200/1200, validation error 2.468333 %
epoch 9, minibatch 1200/1200, validation error 2.346667 %
     epoch 9, minibatch 1200/1200, test error of best model 2.424242 %
epoch 10, minibatch 1200/1200, validation error 2.420000 %
epoch 11, minibatch 1200/1200, validation error 2.160000 %
     epoch 11, minibatch 1200/1200, test error of best model 2.272727 %
epoch 12, minibatch 1200/1200, validation error 1.975000 %
     epoch 12, minibatch 1200/1200, test error of best model 2.141414 %
epoch 13, minibatch 1200/1200, validation error 1.955000 %
     epoch 13, minibatch 1200/1200, test error of best model 2.070707 %
epoch 14, minibatch 1200/1200, validation error 2.241667 %
epoch 15, minibatch 1200/1200, validation error 1.838333 %
     epoch 15, minibatch 1200/1200, test error of best model 1.929293 %
epoch 16, minibatch 1200/1200, validation error 2.010000 %
epoch 17, minibatch 1200/1200, validation error 1.886667 %
epoch 18, minibatch 1200/1200, validation error 1.781667 %
     epoch 18, minibatch 1200/1200, test error of best model 2.050505 %
epoch 19, minibatch 1200/1200, validation error 1.783333 %
epoch 20, minibatch 1200/1200, validation error 2.120000 %
epoch 21, minibatch 1200/1200, validation error 1.751667 %
     epoch 21, minibatch 1200/1200, test error of best model 1.808081 %
epoch 22, minibatch 1200/1200, validation error 1.736667 %
     epoch 22, minibatch 1200/1200, test error of best model 1.747475 %
epoch 23, minibatch 1200/1200, validation error 1.843333 %
epoch 24, minibatch 1200/1200, validation error 1.841667 %
epoch 25, minibatch 1200/1200, validation error 1.690000 %
     epoch 25, minibatch 1200/1200, test error of best model 1.818182 %
epoch 26, minibatch 1200/1200, validation error 2.060000 %
epoch 27, minibatch 1200/1200, validation error 1.736667 %
epoch 28, minibatch 1200/1200, validation error 1.853333 %
epoch 29, minibatch 1200/1200, validation error 1.738333 %
epoch 30, minibatch 1200/1200, validation error 1.736667 %
epoch 31, minibatch 1200/1200, validation error 1.891667 %
epoch 32, minibatch 1200/1200, validation error 1.658333 %
     epoch 32, minibatch 1200/1200, test error of best model 1.747475 %
epoch 33, minibatch 1200/1200, validation error 1.730000 %
epoch 34, minibatch 1200/1200, validation error 1.763333 %
epoch 35, minibatch 1200/1200, validation error 1.796667 %
epoch 36, minibatch 1200/1200, validation error 1.793333 %
epoch 37, minibatch 1200/1200, validation error 1.815000 %
epoch 38, minibatch 1200/1200, validation error 1.890000 %
epoch 39, minibatch 1200/1200, validation error 1.728333 %
epoch 40, minibatch 1200/1200, validation error 1.871667 %
epoch 41, minibatch 1200/1200, validation error 1.721667 %
epoch 42, minibatch 1200/1200, validation error 1.705000 %
epoch 43, minibatch 1200/1200, validation error 1.803333 %
epoch 44, minibatch 1200/1200, validation error 1.748333 %
epoch 45, minibatch 1200/1200, validation error 1.751667 %
epoch 46, minibatch 1200/1200, validation error 1.711667 %
epoch 47, minibatch 1200/1200, validation error 1.638333 %
     epoch 47, minibatch 1200/1200, test error of best model 1.696970 %
epoch 48, minibatch 1200/1200, validation error 1.660000 %
epoch 49, minibatch 1200/1200, validation error 1.718333 %
epoch 50, minibatch 1200/1200, validation error 1.683333 %
epoch 51, minibatch 1200/1200, validation error 1.673333 %
epoch 52, minibatch 1200/1200, validation error 1.800000 %
epoch 53, minibatch 1200/1200, validation error 1.761667 %
epoch 54, minibatch 1200/1200, validation error 1.746667 %
epoch 55, minibatch 1200/1200, validation error 1.901667 %
epoch 56, minibatch 1200/1200, validation error 1.788333 %
epoch 57, minibatch 1200/1200, validation error 1.723333 %
epoch 58, minibatch 1200/1200, validation error 1.708333 %
epoch 59, minibatch 1200/1200, validation error 1.781667 %
epoch 60, minibatch 1200/1200, validation error 1.755000 %
epoch 61, minibatch 1200/1200, validation error 1.700000 %
epoch 62, minibatch 1200/1200, validation error 1.703333 %
epoch 63, minibatch 1200/1200, validation error 1.756667 %
epoch 64, minibatch 1200/1200, validation error 1.650000 %
epoch 65, minibatch 1200/1200, validation error 1.813333 %
epoch 66, minibatch 1200/1200, validation error 1.715000 %
epoch 67, minibatch 1200/1200, validation error 1.816667 %
epoch 68, minibatch 1200/1200, validation error 1.696667 %
epoch 69, minibatch 1200/1200, validation error 1.903333 %
epoch 70, minibatch 1200/1200, validation error 1.833333 %
epoch 71, minibatch 1200/1200, validation error 1.746667 %
epoch 72, minibatch 1200/1200, validation error 1.750000 %
epoch 73, minibatch 1200/1200, validation error 1.701667 %
epoch 74, minibatch 1200/1200, validation error 1.841667 %
epoch 75, minibatch 1200/1200, validation error 1.968333 %
epoch 76, minibatch 1200/1200, validation error 1.745000 %
epoch 77, minibatch 1200/1200, validation error 1.866667 %
epoch 78, minibatch 1200/1200, validation error 1.751667 %
